id,text,label
1161144195366543360,"Show me love, show me fuckin love cause I thought it was all I needed",NOT
1188164555660316672,@USER Why does the @USER hate defense?,NOT
1186400070209560577,@USER I know they aren’t the same but that doesn’t mean I’m not sick of y’all lol,NOT
1159880652306702336,@USER She cute as fuck right 😬,OFF
1187350808461008896,@USER That why those frauds Ebuka and co brushed it off. Tacha is the antagonist. She's always wrong.,NOT
1160950652798767104,@USER I showed up when it mattered. Lmao. You just were already at home for the weekend.,NOT
1160625779128131585,i get cranky af when I cant nap in between shifts😡,NOT
1159961619591385089,Not gonna lie...when my gay af immigrant Latina mom tells me that gay pride is bad I listen. Yall should listen,NOT
1162038852187492354,@USER What’s stopping you from getting the license?,NOT
1161318602219413504,@USER The 2016 team gave up more yards rushing (272.8 ypg) than passing (245.4),NOT
1158591541151059969,i don’t want to smile if it ain’t from you 💞,NOT
1160208806334406656,@USER We should not trust Mitch with the position of Senate Majority Leader.,NOT
1162510115020234753,@USER If this is his laugh in the anime I HAVE to watch it,NOT
1188188605417709569,@USER It kind of sounded like you were doing the same.🤣,NOT
1186680396819390470,@USER Lindsay are fool and the true is not in you,NOT
1160481855533125632,"@USER a good plan :-) i'm waiting for you in Paris, when you will come to France next year ;)",NOT
1158117163447783424,"I don’t aspire to be like anyone, but a better version of myself",NOT
1155995455773274112,Love the Jeep with the UGA flag video -- #DawgsOnTop,NOT
1186435537734754304,Who in this world could complain about a free ounce of quality home grown ?,NOT
1161311841039060992,boutta send my crush a picture of my asshole brb,NOT
1156420072950435840,@USER It’s harsh and sad. To lose someone you love and could have spent your whole life with. I feel for her.,NOT
1188372605843181568,Last night I dreamt I was going home with a hooker - explain that 🤔,NOT
1160854217390731264,@USER @USER Some Tory had the answer: get pensioners to pick fruit in return for pensions.,NOT
1161802721940213760,@USER has done it now... #ObamaIsOverParty,NOT
1186792254637268992,@USER i cant be fucking bothered to read that,NOT
1188480508419858432,@USER @USER chances are it will literally just be like one COD to the next lmao,NOT
1159666138709745664,"@USER While having his hands on their butt's, thinking of his daughter Ivanka trump. Trump is a sexual predator, pedophile rapist POS!",OFF
1158570707736940544,"Oomf: *texts me*  Me: Ugh, what does his bitch ass want??  @USER: YOU, BITCH!!",OFF
1161006429207236608,"@USER Aye man it’s all good to switch it up, shit might be what you need",NOT
1161282296953135104,"@USER It's all very well saying that, but not much good when you don't answer the phone or respond to your online form.",NOT
1155718245787111425,@USER but it's actually suits him tho 😂,NOT
1188069284293107712,Artiste live your normal life and let your songs do the talking ... y’all faking too much,NOT
1158027894125486082,@USER Shite isn't it? My ultimate hate in life.,NOT
1158580048921710595,looking thru my indirects and just seeing ren talk abt mayar the dog 😭😭😭,NOT
1187117817474228225,@USER I need to be happy and be with people who make me laugh  كيبوردي عارف اللي هناك 😂,NOT
1185905452783063040,@USER I can watch the last point over and over for thousands times.,NOT
1159698539942776840,honestly i love az but some of the ppl suck so bad,NOT
1155807933021790209,@USER @USER This is the type of radio @USER mocks it’s terrible,NOT
1141344941366321154,"I want to be one of those girls you eat sushi off of, but it’s nachos.  Don’t make this weird.",NOT
1186477612836757505,"Thank you, Canada for not following the US, and for making your votes count for a brighter future. 🇨🇦",NOT
1161900545474486272,@USER Pinterest they got the best stuff bro,NOT
1156329653730197504,@USER @USER “Simple” might beat “stupid” in the case of this cadre. But that’s the argument they want.,NOT
1162501022704689159,@USER @66ALW99 Only under Whahabism which is rejected by the majority of Muslims.,NOT
1188219878383259653,@USER Leianna I'm in the fucking infirmary you're doing nothing,OFF
1161977640498225156,"@USER We are only sure of the present, please dear spend it all on amala, you deserve it!",NOT
1186124059156725762,@USER aahhhh i see. my parents is that too. sorry i cant do anything to help ://,NOT
1161264586974257154,wow the dream i had last night... 😨 it’s possible i was a french woman in the early 1900s,NOT
1162129168064294913,@USER The most cramped roblox place! Get all of your fans to break open the box!,NOT
1186625610937966592,@USER @USER @USER I only ever see (D)'s comment on this. Where are the (R)'s?,NOT
1157239594682900481,"@USER Here👍 I was suspended for a week, I didn't even say her name or tag her. It's BS and the favoritism needs to stop",NOT
1156378909832896512,"“Candidates, which of you is the wokest and why, GO”",NOT
1157150888152064000,Clayton Kershaw has 16 quality starts this season.  The Los Angeles Angels have 15.,NOT
1186006309302341638,@USER Latisha is that you playa,NOT
1160586004106887168,"@USER And, the winner for worst acting goes to....",NOT
1187161236028346368,I need to see Alice face as soon as possible!!! @USER #Riverdale,NOT
1187218005979062272,Despite expectations to the contrary Shorten didn’t get that far.,NOT
1187141958818582529,"@USER @USER If you're ever in the area, you always can preach at my Christian school.",NOT
1155896296105897985,Just watched 2 episode of #TYPEWRITER ! It's fantastic but no so much Scarry that people pretending !,NOT
1156984082552754182,@USER @USER I’m with the shits bro,NOT
1161710763695845377,Moomoo really gone beat TFUCK outta me when he come home 🤣🤣✌🏾,NOT
1187345248877457408,@USER @USER @USER @USER Crossing my fingers for my boy! I’m from Gauteng if you know what I mean 🤣,NOT
1161823697902034950,"@USER Right. My hunch is that Ghislaine took over her daddy’s spot after he was knocked off, Mogilevich’s left hand",NOT
1160932164231409665,"@USER i haven’t squirted before, how u do that ;-;",NOT
1157378956867321857,@USER looking forward to watching you again tonight on @USER on celebs go barging ! As you are brilliant on it !,NOT
1160091391130832896,@USER Dude yes like there is A LOT of them !!!,NOT
1156447218599178240,I really was in my feelings about not going anywhere to celebrate graduation but I knew something would come through.,NOT
1160351782318563328,@USER Exactly! Like be consistent or get out of my life ! It’s not that complex,NOT
1186699522774142976,"God did not give us a spirit of timidity, but a spirit of power, of love, and of self-discipline. -2 Timothy 1:7",NOT
1187395538511118341,I bitch a lot about my job but I honestly love it so much. I wouldn’t do as many hours if I didn’t lol,NOT
1162060016616124416,@USER I’d be so Beto-mania in a heartbeat again if/when he runs against Cornyn or Cruz again.,NOT
1155584384776511491,You asked for the boss so they sent me dawggg,NOT
1188617448880312320,@USER OMG THIS IS THE 3RD TIME IVE HAD THIS ON MY TIMELINE AHH,NOT
1160038134693785601,@USER Just tried to imagine the chal chal line u wrote as if Akshay Kumar said in Hera pheri movie.,NOT
1159212230509883393,"Some of us keep expressing shock at Labor’s decisions, we haven’t quite caught up with the totality of their betrayal of us @USER",NOT
1160585244916850689,#ClintonsBodyCount Epstein could be alive...in witness protection. I like @USER theory,NOT
1186732670723723265,@USER Every single time. 👍I also get 55s everywhere on top of what you have described. 🙋‍♀️,NOT
1155890744705671168,"I love you... Not in the head over heels kind of way..but.. In the ""I don't wanna loose you  kinda way"".",NOT
1159721753305858048,@USER But with the original Annie,NOT
1157297929582809088,I be off the map like a mf when I’m making moves. I haven’t seen my friends in forever 😕  but I been making some power moves though,NOT
1186552537563971584,"Wish the best, even hope I can still hit but nah...",NOT
1184254748918276098,I love on people hard that’s why I take feeling betrayed to the extreme 💯🤨❗️,NOT
1159347111541952512,@USER @USER @USER Link? And what's the connection to Dubai?,NOT
1157721436775243776,@USER @USER @USER Feel the bitterness!,NOT
1184996665113092096,@USER This is the best.,NOT
1161387586180538369,84 years later.  84 reasons why. GHWB was the crime boss.  It’s all slowly unraveling.  Spells are weakening. Orwellian.,NOT
1188451541881151489,"Hey , Kurds, just uproot your families and mover over  about 7 miles.   Jesus fuck! The damn ignorance   #trumppresser",OFF
1160891089353678849,@USER It's a war on the world the brother must be strong and don't do it out of wedlock something to think about right,NOT
1186164704395157506,Girls that don’t complain when they’re on their monthly - have big dick energy,NOT
1161650236382576640,Bullies acting as victimsTwitter poll: what is the best acting you've ever seen in your whole life?,NOT
1186084701007761409,@USER Dope. So that means he’s done calling plays and they are trading for a decent QB1?😅,NOT
1155819413452410882,(Brigitte and Hana ships are cute.),NOT
1159237015549939712,"@USER @USER We prob use the same one lol, I been using this since 24 caught the patch back in like March",NOT
1162360009981906944,@USER Done my discord is żabson pllease i would like to win So bad,NOT
1157686351598444544,"Give our diamond a chance to shine more. Our lovable Kim Kai,we love you and support you forever. #HereIStandWithKai @USER",NOT
1158538680388263936,"@USER Tried, ending up hitting the unfollow button, it was nice knowing ya :/",NOT
1187180773041823744,Year 50 is gonna be special..I can feel it,NOT
1161642410234875905,Triggered by Jhene Aiko. That’s it. That’s the tweet.,NOT
1188219505299918853,"@USER It’s Okay To Fall Inlove , Just Don’t Be Stupid It’s A Difference",NOT
1186679361518235648,I know it’s too early for this... and I want y’all to have a great day... but why some of y’all eyebrows be looking like potatoe wedges 😕🥴,NOT
1156662266969956357,@USER’s album is such a vybeeeee 😍,NOT
1161692685356261376,9. Sell SP &amp; PP: Sold Ex: They sell really good souvenirs here. They sold the old stuff quickly. He had sold his keyboard to his friend.,NOT
1187106707929030661,@USER He’s done well to hold his tongue this long,NOT
1186047589453574144,"@USER To the elites, they ran out of things to do, so worship the devil.",NOT
1156758572379885569,Did Kamala just say she went after the banks in California ?! Does she not know we know who Steve Mnuchin is?! 🤦🏻‍♀️,NOT
1162513032360034304,@USER i’m not the person to go to i SUCK at geometry. it was so hard. i’m wishing you luck,NOT
